Date,SPY,QQQ,IWM,XLF,TLT,HYG,GLD,SLV,UUP,VIXY
2015-01-02,171.09371948242188,94.90655517578125,103.31513214111328,16.415620803833008,95.8138198852539,50.75985336303711,114.08000183105469,15.109999656677246,20.907146453857422,32976.0
2015-01-05,168.00381469726562,93.5143814086914,101.93386840820312,16.070451736450195,97.31888580322266,50.289649963378906,115.80000305175781,15.5,20.950340270996094,35440.0
2015-01-06,166.42141723632812,92.26054382324219,100.17044067382812,15.824844360351562,99.07234191894531,50.09705352783203,117.12000274658203,15.829999923706055,20.9935359954834,36208.0
2015-01-07,168.49517822265625,93.44985961914062,101.40397644042969,15.99079418182373,98.87672424316406,50.40861129760742,116.43000030517578,15.850000381469727,21.071290969848633,35008.0
2015-01-08,171.48516845703125,95.23844146728516,103.12401580810547,16.22975730895996,97.56719970703125,50.78816604614258,115.94000244140625,15.640000343322754,21.157684326171875,32768.0
2015-01-09,170.11093139648438,94.61152648925781,102.13369750976562,16.01070785522461,98.63585662841797,51.043121337890625,117.26000213623047,15.770000457763672,21.062652587890625,34048.0
2015-01-12,168.77833557128906,93.62503051757812,101.79491424560547,15.877949714660645,99.20022583007812,50.980796813964844,118.55999755859375,15.869999885559082,21.062652587890625,35664.0
2015-01-13,168.30364990234375,93.59737396240234,101.87306213378906,15.824844360351562,99.20022583007812,50.980796813964844,118.16000366210938,16.290000915527344,21.123126983642578,36688.0
2015-01-14,167.28753662109375,93.08110046386719,101.46479797363281,15.599153518676758,99.95283508300781,50.86185836791992,117.97000122070312,16.1299991607666,21.07992935180664,37344.0
2015-01-15,165.75515747070312,91.87328338623047,99.75342559814453,15.406654357910156,101.52562713623047,50.550262451171875,120.94000244140625,16.149999618530273,21.149045944213867,38496.0
2015-01-16,167.92889404296875,92.9520034790039,101.37791442871094,15.592514991760254,100.23123931884766,50.74289321899414,122.5199966430664,16.950000762939453,21.244077682495117,37680.0
2015-01-20,168.2869873046875,93.68956756591797,100.95223236083984,15.526137351989746,101.56330871582031,50.652225494384766,124.19999694824219,17.18000030517578,21.33047103881836,37344.0
2015-01-21,169.13644409179688,94.16896057128906,100.63080596923828,15.565958976745605,100.38931274414062,50.924163818359375,124.2300033569336,17.3700008392334,21.26999855041504,35536.0
2015-01-22,171.6516876220703,95.9114990234375,102.68095397949219,15.950969696044922,100.02806091308594,50.99212646484375,125.2300033569336,17.610000610351562,21.589651107788086,33296.0
2015-01-23,170.7105712890625,96.12354278564453,102.61146545410156,15.778374671936035,101.42028045654297,50.99212646484375,124.2300033569336,17.510000228881836,21.779714584350586,34144.0
2015-01-26,171.1103515625,96.01289367675781,103.60181427001953,15.858030319213867,101.11170196533203,51.22441101074219,122.98999786376953,17.1299991607666,21.745159149169922,32608.0
2015-01-27,168.85328674316406,93.52361297607422,103.10665130615234,15.685447692871094,101.269775390625,51.18478012084961,124.4000015258789,17.329999923706055,21.53781509399414,34016.0
2015-01-28,166.6878662109375,93.04418182373047,101.36922454833984,15.400016784667969,102.92539978027344,51.07708740234375,123.41999816894531,17.229999542236328,21.66740608215332,36896.0
2015-01-29,168.22865295410156,93.93846130371094,102.7678451538086,15.526137351989746,102.24806213378906,51.258419036865234,120.76000213623047,16.239999771118164,21.68468475341797,35648.0
2015-01-30,166.1132049560547,93.21013641357422,100.50920867919922,15.273894309997559,104.06169891357422,51.11675262451172,123.44999694824219,16.540000915527344,21.710601806640625,39280.0
2015-02-02,168.1703643798828,94.021484375,101.4300537109375,15.519495964050293,103.66885375976562,51.313018798828125,122.41999816894531,16.469999313354492,21.66740608215332,37136.0
2015-02-03,170.60232543945312,94.92498779296875,103.24564361572266,15.778374671936035,101.47451782226562,51.60309982299805,121.05000305175781,16.549999237060547,21.4168643951416,35376.0
2015-02-04,169.95265197753906,94.84199523925781,102.86339569091797,15.738550186157227,101.64790344238281,51.38697814941406,121.58000183105469,16.6299991607666,21.546457290649414,36368.0
2015-02-05,171.6683807373047,95.66253662109375,104.19252014160156,15.897866249084473,100.53195190429688,51.68842315673828,121.79000091552734,16.579999923706055,21.390949249267578,35008.0
2015-02-06,171.19363403320312,95.08170318603516,104.0795669555664,16.02397918701172,98.75234985351562,51.72826385498047,118.63999938964844,16.030000686645508,21.650123596191406,36512.0
2015-02-09,170.42742919921875,94.7774887084961,103.25432586669922,15.944330215454102,98.59396362304688,51.60309982299805,119.16999816894531,16.31999969482422,21.632850646972656,36688.0
2015-02-10,172.2429962158203,96.25260925292969,103.91452026367188,16.070451736450195,97.80977630615234,51.77943801879883,118.47000122070312,16.190000534057617,21.658763885498047,35296.0
2015-02-11,172.34300231933594,96.60295867919922,103.76686096191406,16.070451736450195,97.99073791503906,51.76237487792969,117.06999969482422,16.079999923706055,21.73651885986328,35440.0
2015-02-12,174.0003662109375,97.7277603149414,104.94831085205078,16.22975730895996,97.66651916503906,51.75668716430664,117.33999633789062,16.149999618530273,21.529176712036133,33344.0
2015-02-13,174.71665954589844,98.56673431396484,105.57376861572266,16.216480255126953,96.66356658935547,51.83063888549805,117.9800033569336,16.540000915527344,21.52053451538086,32944.0
2015-02-17,174.991455078125,98.65890502929688,105.90384674072266,16.26958656311035,95.20825958251953,51.796504974365234,116.01000213623047,15.829999923706055,21.494617462158203,33024.0
2015-02-18,175.0081329345703,98.79723358154297,106.0168228149414,16.17001724243164,95.77378845214844,51.972835540771484,116.33999633789062,15.75,21.50325584411621,32736.0
